id,tree,vegetable,element,animal,color,instrument,fruit
4817,Yellowwood,radicchio,Argon,ibex,Neon Carrot,Crescograph,avocado
4818,Spruce,dill,Ununhexium,lion,Peach,Meteorograph,honeydew
4819,Elderberry,mangetout,Samarium,reindeer,Spring Green,Turgometer,raspberry
4820,Tulip Tree,okra,Mendelevium,porcupine,Shadow,Spectroscope,eggplant
4821,Chestnut,rosemary,Plutonium,ferret,Purple Heart,Coronagraph,satsuma
4822,Larch,kidney bean,Tantalum,squirrel,Jungle Green,Tribometer,gooseberry
4823,Spruce,skirret,Holmium,skunk,Macaroni and Cheese,Diaphanometer,avocado
4824,Apple,runner bean,Technetium,grizzly bear,Timberwolf,Microseismograph,coconut
4825,Ash,corn,Nitrogen,newt,Vivid Tangerine,Typhlograph,strawberry
4826,Tupelo,legume,Iridium,jaguar,Turquoise Blue,Alcovinometer,apple
4827,Birch,mamey,Mendelevium,wildcat,Timberwolf,Seismoscope,banana
4828,Cedar,collard green,Iridium,turtle,Outrageous Orange,Taseometer,jackfruit
4829,Holly,soy bean,Zirconium,moose,Turquoise Blue,Platometer,blackberry
4830,Fir,water chestnut,Curium,parakeet,Shocking Pink,Thermograph,salal berry
4831,Crabapple,mung bean,Promethium,cat,Purple Mountain's Majesty,Tachograph,currant
4832,Cedar,amaranth,Thulium,coyote,Yellow,Pyroscope,coconut
4833,Yellowwood,cilantro,Ruthenium,beaver,Maroon,Opsiometer,grape
4834,Linden,kidney bean,Lawrencium,weasel,Canary,Ebullioscope,bell pepper
4835,Hawthorn,garlic,Scandium,leopard,Hot Magenta,Phototelegraph,lime
4836,Birch,sage,Polonium,kangaroo,Orchid,Plemyrameter,loquat
4837,Beech,arugula,Plutonium,donkey,Forest Green,Stereoscope,papaya
4838,Plum,bean sprout,Rhenium,kangaroo,Fuchsia,Crescograph,pamelo
4839,Fir,mangetout,Radon,prairie dog,Vivid Violet,Helicograph,chili pepper
4840,Yellowwood,thyme,Radon,walrus,Burnt Sienna,Nephograph,star fruit
4841,Sumac,cauliflower,Neon,grizzly bear,Silver,Electrodynamometer,mango
4842,Spruce,corn,Antimony,seal,Razzmatazz,Odontograph,jujube
4843,Linden,cauliflower,Technetium,canary,Red Orange,Stactometer,fig
4844,Fir,sweet potato,Mercury,ape,Green,Aethrioscope,chili pepper
4845,Gum,spaghetti squash,Hydrogen,finch,Neon Carrot,Tocodynamometer,pomelo
4846,Pear,green bean,Iodine,antelope,Olive Green,Stauroscope,satsuma
4847,Sassafras,black bean,Vanadium,prairie dog,Purple Heart,Psophometer,cloudberry
4848,Elderberry,radish,Gold,panda,Razzmatazz,Volumeter,currant
4849,Elderberry,lentils,Iodine,oryx,Mahogany,Methanometer,lemon
4850,Elderberry,cilantro,Tungsten,turtle,Cerulean,Helioscope,banana
4851,Palm,fennel,Roentgenium,horse,Red Violet,Gasometer,mulberry
4852,Gum,jerusalem artichoke,Boron,ferret,Jungle Green,Laryngoscope,kumquat
4853,Willow,brussels sprout,Hydrogen,mule,Outrageous Orange,Scintilloscope,cherry
4854,Chestnut,radish,Barium,sloth,Vivid Tangerine,Phototachometer,damson
4855,Gum,habanero,Arsenic,dingo,Outrageous Orange,Strabometer,huckleberry
4856,Magnolia,lentils,Fluorine,sheep,Royal Purple,Myograph,pear
4857,Beech,snap pea,Rhenium,horse,Salmon,Interferometer,avocado
4858,Linden,rutabaga,Strontium,opossum,Apricot,Orchidometer,kiwi fruit
4859,Oak,corn salad,Protactinium,moose,Vivid Tangerine,Ratemeter,breadfruit
4860,Hickory,pumpkin,Uranium,kangaroo,White,Altimeter,coconut
4861,Ash,leek,Strontium,ocelot,Fern,Riometer,plum
4862,Pine,snap pea,Manganese,canary,Cotton Candy,Haptometer,guava
4863,Sumac,lettuce,Rutherfordium,warthog,Indigo,Diagraph,damson
4864,Holly,collard green,Praseodymium,badger,Sunglow,Oscillometer,plum
4865,Apple,alfalfa sprout,Iodine,alligator,Sepia,Stereometer,cherimoya
4866,Elderberry,azuki bean,Fermium,goat,Cerise,Ophthalmometer,raisin
4867,Willow,lentils,Potassium,llama,Orchid,Methanometer,feijoa
4868,Tupelo,azuki bean,Berkelium,canary,Wild Blue Yonder,Colposcope,jackfruit
4869,Pine,bean sprout,Einsteinium,mountain goat,Wild Blue Yonder,Evaporimeter,lime
4870,Palm,banana squash,Meitnerium,reptile,Macaroni and Cheese,Katharometer,chili pepper
4871,Cedar,shallot,Argon,moose,Red Violet,Cyanometer,canary melon
4872,Walnut,kidney bean,Arsenic,crow,Melon,Cymometer,pamelo
4873,Sassafras,broad beans,Silver,llama,Banana Mania,Colposcope,cranberry
4874,Cypress,white radish,Einsteinium,koala,Cerise,Photometer,pear
4875,Holly,anise,Antimony,chipmunk,Antique Brass,Qualimeter,quince
4876,Crabapple,acorn squash,Hydrogen,monkey,Denim,Typhlograph,lemon
4877,Cedar,kale,Technetium,armadillo,Peach,Hydrometer,fig
4878,Redwood,parsnip,Ytterbium,lamb,Copper,Visometer,tangerine
4879,Poplar,kohlrabi,Samarium,cougar,Purple Pizzazz,Tenderometer,kiwi fruit
4880,Tulip Tree,corn,Rutherfordium,opossum,Turquoise Blue,Cystoscope,cucumber
4881,Poplar,watercress,Ununtrium,crow,Atomic Tangerine,Goniometer,lychee
4882,Gum,corn,Lanthanum,seal,Peach,Opacimeter,honeydew
4883,Tupelo,alfalfa sprout,Germanium,gnu,Red,Serimeter,lemon
4884,Plum,black bean,Vanadium,kangaroo,White,Colonoscope,redcurrant
4885,Palm,new zealand spinach,Astatine,iguana,Radical Red,Selenoscope,raisin
4886,Hawthorn,garlic,Krypton,gnu,Brown,Scoliometer,date
4887,Willow,kale,Tungsten,donkey,Manatee,Phototelegraph,cherry
4888,Beech,nopale,Caesium,bull,Plum,Stenometer,dragonfruit
4889,Crabapple,lima bean,Ununquadium,cougar,Turquoise Blue,Fluorimeter,jambul
4890,Plum,broad beans,Ruthenium,alpaca,Beaver,Electrometer,strawberry
4891,Plum,parsnip,Yttrium,sheep,Orange,Electroretinograph,apricot
4892,Ash,calabrese,Cobalt,cheetah,Banana Mania,Radarscope,pomegranate
4893,Olive,mustard green,Uranium,muskrat,Olive Green,Spectrohelioscope,tomato
4894,Walnut,artichoke,Hassium,frog,Timberwolf,Polariscope,salal berry
4895,Apple,mung bean,Tellurium,leopard,Raw Sienna,Lucimeter,goji berry
4896,Walnut,cayenne pepper,Holmium,newt,Raw Sienna,Hyetometrograph,damson
4897,Holly,lettuce,Americium,finch,Bittersweet,Scoliometer,blueberry
4898,Gum,delicata,Radon,coyote,Blue,Galactometer,jackfruit
4899,Oak,pumpkin,Calcium,weasel,Piggy Pink,Oncosimeter,watermelon
4900,Sumac,parsnip,Ununhexium,bison,Fuzzy Wuzzy,Endosmometer,raisin
4901,Willow,artichoke,Bromine,aardvark,Sunglow,Magnetograph,papaya
4902,Maple,water chestnut,Manganese,gorilla,Midnight Blue,Tenderometer,jambul
4903,Cherry,broccoflower,Selenium,antelope,Wisteria,Inclinometer,guava
4904,Cypress,radicchio,Plutonium,marmoset,Pacific Blue,Pneumatometer,banana
4905,Birch,mangetout,Cobalt,rat,Blue Green,Psophometer,pear
4906,Holly,jicama,Mercury,weasel,Vivid Violet,Zymosimeter,ugli fruit
4907,Maple,jalapeno,Vanadium,panda,Indigo,Decelerometer,lychee
4908,Peach,sweet potato,Silver,yak,Burnt Orange,Actinograph,lime
4909,Peach,cucumber,Ytterbium,iguana,Yellow Orange,Turgometer,satsuma
4910,Tulip Tree,mung bean,Europium,crocodile,Pink Flamingo,Hemacytometer,lychee
4911,Holly,alfalfa sprout,Zinc,lynx,Mango Tango,Selenoscope,grape
4912,Chestnut,oregano,Nitrogen,lamb,Shamrock,Tensiometer,banana
4913,Hickory,nopale,Platinum,iguana,Sepia,Kinetoscope,nut
4914,Poplar,soy bean,Darmstadtium,turtle,Gray,Tenderometer,kumquat
4915,Chestnut,mustard green,Titanium,squirrel,Maroon,Hypsometer,cucumber
4916,Dogwood,dill,Praseodymium,aardvark,Cornflower,Dilatometer,blackcurrant
4917,Tulip Tree,spinach,Silicon,deer,Pacific Blue,Spirograph,breadfruit
4918,Palm,aubergine,Mendelevium,woodchuck,Scarlet,Piezometer,purple mangosteen
4919,Cedar,herbs and spice,Arsenic,raccoon,Tropical Rain Forest,Radiogoniometer,redcurrant
4920,Willow,rhubarb,Indium,gopher,Denim,Auxanometer,guava
4921,Cedar,habanero,Rutherfordium,mink,Screamin' Green,Geothermometer,chili pepper
4922,Maple,chamomile,Phosphorus,gazelle,Atomic Tangerine,Radiometeorograph,nectarine
4923,Hickory,rutabaga,Neodymium,coyote,Cerise,Pulsimeter,apple
4924,Walnut,tat soi,Krypton,polar bear,Almond,Plemyrameter,ugli fruit
4925,Spruce,bean sprout,Rutherfordium,sheep,Caribbean Green,Passimeter,apple
4926,Ash,celery,Bohrium,iguana,Purple Mountain's Majesty,Lactoscope,blood orange
4927,Sumac,jerusalem artichoke,Phosphorus,mountain goat,Desert Sand,Methanometer,elderberry
4928,Ash,artichoke,Iodine,sheep,Cerise,Katathermometer,canary melon
4929,Magnolia,mung bean,Actinium,dingo,Tropical Rain Forest,Ceilometer,strawberry
4930,Spruce,okra,Nickel,kangaroo,Sky Blue,Cytometer,nectarine
4931,Tupelo,thyme,Argon,chimpanzee,Burnt Sienna,Bronchoscope,salal berry
4932,Poplar,mung bean,Ununtrium,newt,Sky Blue,Diplograph,persimmon
4933,Birch,mushroom,Radium,shrew,Purple Heart,Lucimeter,tamarillo
4934,Birch,celery,Meitnerium,fox,Cerulean,Diffractometer,mango
4935,Maple,legume,Ruthenium,walrus,Carnation Pink,Thermoscope,nut
4936,Chestnut,garlic,Darmstadtium,wildcat,Aquamarine,Labidometer,eggplant
4937,Hickory,mung bean,Rubidium,boar,Mountain Meadow,Pluviometer,eggplant
4938,Cherry,aubergine,Mendelevium,goat,Banana Mania,Helioscope,pamelo
4939,Hawthorn,ginger,Hydrogen,turtle,Robin's Egg Blue,Diffractometer,kumquat
4940,Peach,eggplant,Strontium,chameleon,Neon Carrot,Gradiometer,chili pepper
4941,Walnut,parsnip,Nitrogen,deer,Beaver,Selenoscope,olive
4942,Magnolia,navy bean,Lutetium,antelope,Electric Lime,Ultramicroscope,bell pepper
4943,Cypress,tat soi,Carbon,wombat,Midnight Blue,Anemograph,damson
4944,Poplar,chamomile,Argon,mandrill,Wild Watermelon,Microbarograph,loquat
4945,Magnolia,okra,Oxygen,walrus,Peach,Shuftiscope,lemon
4946,Pear,hubbard squash,Neodymium,guinea pig,Shocking Pink,Meteorograph,raisin
4947,Cherry,collard green,Mendelevium,parakeet,Maroon,Tiltmeter,cantaloupe
4948,Chestnut,courgette,Roentgenium,orangutan,Green Yellow,Lucimeter,passionfruit
4949,Sumac,courgette,Gallium,parrot,Eggplant,Coercimeter,rambutan
4950,Palm,anise,Roentgenium,mule,Indigo,Keratometer,date
4951,Crabapple,caraway,Holmium,frog,Unmellow Yellow,Hemacytometer,pineapple
4952,Linden,chives,Neon,horse,Red Violet,Spectrohelioscope,jambul
4953,Locust,pea,Tellurium,panda,Turquoise Blue,Tocodynamometer,guava
4954,Birch,patty pan,Caesium,orangutan,Orange,Rotameter,clementine
4955,Hawthorn,chives,Silicon,lynx,Royal Purple,Hippometer,watermelon
4956,Tupelo,chives,Mercury,alpaca,Wisteria,Stroboscope,guava
4957,Redwood,garlic,Calcium,zebra,Banana Mania,Pneumograph,passionfruit
4958,Pear,amaranth,Mendelevium,lamb,Copper,Odontograph,apple
4959,Cherry,lima bean,Astatine,dog,Mango Tango,Tasimeter,jujube
4960,Locust,bean sprout,Palladium,parakeet,Pacific Blue,Labidometer,tamarillo
4961,Juniper,lentils,Rubidium,ibex,Laser Lemon,Cystoscope,chili pepper
4962,Cedar,zucchini,Dubnium,tapir,Bittersweet,Elatrometer,tangerine
4963,Cypress,butternut squash,Lutetium,wolf,Manatee,Viameter,pamelo
4964,Tupelo,tat soi,Nobelium,antelope,Pink Flamingo,Potentiometer,pineapple
4965,Palm,white radish,Tantalum,hippopotamus,Bittersweet,Scotograph,salal berry
4966,Dogwood,dill,Aluminium,mustang,Salmon,Hygroscope,fig
4967,Juniper,fennel,Ununquadium,bison,Razzmatazz,Electroencephalograph,tomato
4968,Spruce,cayenne pepper,Lanthanum,ape,Purple Heart,Manometer,honeydew
4969,Sumac,arugula,Nickel,wildcat,Canary,Proctoscope,bell pepper
4970,Tulip Tree,basil,Chromium,rhinoceros,Tropical Rain Forest,Thermoscope,grapefruit
4971,Palm,sage,Americium,bison,Indigo,Kinetoscope,pear
4972,Tulip Tree,ginger,Tellurium,zebra,Plum,Endoscope,kumquat
4973,Peach,zucchini,Hydrogen,muskrat,Spring Green,Passimeter,loquat
4974,Elm,bean sprout,Tungsten,tiger,Indigo,Ohmmeter,elderberry
4975,Willow,squash,Tungsten,cat,Timberwolf,Hydroscope,kumquat
4976,Fir,soy bean,Hassium,armadillo,Wisteria,Ombrometer,currant
4977,Alder,endive,Lutetium,reptile,Midnight Blue,Thermoscope,nectarine
4978,Willow,radicchio,Americium,silver fox,Green,Alcovinometer,strawberry
4979,Locust,navy bean,Carbon,hyena,Gold,Dromometer,tangerine
4980,Chestnut,spinach,Nobelium,aardvark,Blue Violet,Tribometer,chili pepper
4981,Holly,yam,Ruthenium,porcupine,Red Orange,Dipleidoscope,cherry
4982,Palm,broccoflower,Titanium,panther,Wild Watermelon,Dichroscope,persimmon
4983,Palm,cauliflower,Silver,lemur,Peach,Stalagmometer,pineapple
4984,Sassafras,garlic,Hafnium,hyena,Unmellow Yellow,Alkalimeter,cherimoya
4985,Dogwood,lima bean,Carbon,chinchilla,Almond,Scoliometer,kiwi fruit
4986,Apple,radicchio,Tellurium,leopard,Sepia,Spectroscope,cranberry
4987,Chestnut,rutabaga,Astatine,frog,Blush,Strabometer,redcurrant
4988,Chestnut,pumpkin,Chlorine,wolf,Shadow,Cymometer,loquat
4989,Spruce,chives,Selenium,donkey,Mauvelous,Tachometer,peach
4990,Palm,borlotti bean,Darmstadtium,gorilla,Gray,Sideroscope,rock melon
4991,Cypress,rhubarb,Germanium,guinea pig,Shadow,Micronometer,banana
4992,Birch,lemon grass,Californium,lynx,Sea Green,Eriometer,cucumber
4993,Sumac,soy bean,Thulium,oryx,Red Violet,Coulombmeter,canary melon
4994,Pear,shallot,Unununium,porcupine,Outrageous Orange,Odometer,pamelo
4995,Palm,basil,Francium,bat,Periwinkle,Telescope,apple
4996,Birch,oregano,Astatine,warthog,Tumbleweed,Auxanometer,eggplant
4997,Tulip Tree,butternut squash,Neon,camel,Canary,Heliometer,canary melon
4998,Linden,squash,Mercury,jaguar,Tan,Acidimeter,tamarillo
4999,Pear,pumpkin,Lawrencium,alpaca,Chestnut,Audiometer,date
5000,Cypress,courgette,Americium,leopard,Screamin' Green,Rhythmometer,cranberry
5001,Pine,parsley,Polonium,fox,Robin's Egg Blue,Wavemeter,boysenberry
5002,Plum,horseradish,Nickel,ocelot,Sky Blue,Dynamometer,pomelo
5003,Oak,cauliflower,Oxygen,crow,Spring Green,Sphygmograph,loquat
5004,Hawthorn,delicata,Praseodymium,cow,Unmellow Yellow,Sonograph,eggplant
5005,Pear,shallot,Tin,mouse,Unmellow Yellow,Odograph,durian
5006,Tupelo,chayote,Indium,sheep,Unmellow Yellow,Diffractometer,grape
5007,Plum,cucumber,Calcium,ocelot,Banana Mania,Mileometer,damson
5008,Birch,lima bean,Lithium,sloth,Tan,Tromometer,gooseberry
5009,Fir,pinto bean,Tungsten,mongoose,Purple Heart,Plemyrameter,boysenberry
5010,Sumac,fiddlehead,Meitnerium,ape,Almond,Oscilloscope,nut
5011,Pine,basil,Tin,rabbit,Bittersweet,Katathermometer,mandarine
5012,Redwood,topinambur,Aluminium,baboon,Neon Carrot,Helicograph,peach
5013,Sumac,pumpkin,Actinium,lion,Shamrock,Volumeter,nut
5014,Dogwood,rosemary,Meitnerium,jackal,Outrageous Orange,Stethoscope,rambutan
5015,Redwood,radicchio,Selenium,lizard,Antique Brass,Tensiometer,boysenberry
5016,Linden,topinambur,Unununium,cow,Violet,Actinograph,cucumber
5017,Cherry,pea,Strontium,camel,Yellow Orange,Phorometer,peach
5018,Yellowwood,leek,Niobium,aardvark,Purple Mountain's Majesty,Stroboscope,peach
5019,Juniper,tat soi,Helium,fish,Yellow Green,Phacometer,grapefruit
5020,Chestnut,kohlrabi,Lithium,chipmunk,Carnation Pink,Stauroscope,quince
5021,Elderberry,ginger,Polonium,hippopotamus,Brown,Ondograph,grapefruit
5022,Tulip Tree,shallot,Tin,cow,Vivid Violet,Visometer,plum
5023,Locust,chamomile,Indium,mouse,Wisteria,Respirometer,mulberry
5024,Sumac,pumpkin,Neptunium,reindeer,Razzle Dazzle Rose,Koniscope,blackberry
5025,Plum,rhubarb,Lawrencium,ibex,Sky Blue,Planimeter,canary melon
5026,Cherry,chard,Ununhexium,wildcat,Shocking Pink,Diffractometer,tamarillo
5027,Cypress,radicchio,Cerium,ox,Beaver,Telemeter,damson
5028,Peach,water chestnut,Hydrogen,toad,Atomic Tangerine,Pyrheliometer,redcurrant
5029,Locust,courgette,Ytterbium,grizzly bear,Macaroni and Cheese,Diaphanometer,chili pepper
5030,Plum,cilantro,Silver,whale,Forest Green,Barograph,honeydew
5031,Tulip Tree,basil,Americium,chameleon,Laser Lemon,Urethroscope,peach
5032,Pear,chard,Copper,snake,Lavender,Pluviometer,star fruit
5033,Pine,wasabi,Holmium,ox,Orange,Declinometer,pomegranate
5034,Elderberry,thyme,Thorium,reptile,Neon Carrot,Dromometer,coconut
5035,Peach,spaghetti squash,Einsteinium,turtle,Manatee,Scintillometer,lychee
5036,Poplar,snap pea,Selenium,ocelot,Black,Anemometer,guava
5037,Gum,anise,Thallium,moose,Yellow Orange,Alcoholometer,jambul
5038,Olive,squash,Rhenium,wolverine,Violet Red,Stethometer,banana
5039,Beech,black-eyed pea,Nickel,giraffe,Wisteria,Dipleidoscope,cranberry
5040,Larch,legume,Helium,bull,Sea Green,Planimeter,jambul
5041,Tupelo,kohlrabi,Protactinium,chameleon,Blue Bell,Iriscope,durian
5042,Crabapple,mung bean,Terbium,baboon,Blue Green,Olfactometer,passionfruit
5043,Pear,cucumber,Phosphorus,panda,Salmon,Helioscope,blackberry
5044,Oak,mung bean,Neptunium,guinea pig,Salmon,Stenometer,cloudberry
5045,Birch,lima bean,Darmstadtium,monkey,Turquoise Blue,Spectrofluorimeter,elderberry
5046,Hawthorn,rhubarb,Roentgenium,iguana,Macaroni and Cheese,Thermoscope,feijoa
5047,Elderberry,kale,Calcium,badger,Hot Magenta,Zymosimeter,fig
5048,Oak,lavender,Terbium,dingo,Violet Red,Microseismometer,pineapple
5049,Birch,fennel,Lithium,walrus,Spring Green,Tocodynamometer,date
5050,Walnut,white radish,Boron,cheetah,Brown,Saccharimeter,pamelo
5051,Sassafras,habanero,Cobalt,snake,Cotton Candy,Pyrgeometer,chili pepper
5052,Ash,kohlrabi,Cerium,zebra,Peach,Labidometer,currant
5053,Ash,zucchini,Beryllium,canary,Shocking Pink,Barograph,blueberry
5054,Beech,acorn squash,Berkelium,pig,Eggplant,Udometer,blueberry
5055,Cedar,artichoke,Thorium,beaver,Jungle Green,Dendrometer,cranberry
5056,Elm,sweet potato,Fluorine,parrot,Green,Diaphanometer,jambul
5057,Sassafras,rosemary,Lanthanum,mink,Mauvelous,Polygraph,guava
5058,Elm,chayote,Manganese,gazelle,Shocking Pink,Psophometer,rock melon
5059,Linden,hubbard squash,Holmium,armadillo,Violet Red,Katathermometer,blood orange
5060,Tupelo,habanero,Sulfur,toad,Almond,Ergometer,goji berry
5061,Elderberry,horseradish,Terbium,toad,Blue,Leptometer,honeydew
5062,Chestnut,arugula,Titanium,horse,Almond,Electrometer,ugli fruit
5063,Magnolia,basil,Ununhexium,sheep,Dandelion,Cyclometer,mandarine
5064,Tulip Tree,mangetout,Strontium,cheetah,Goldenrod,Stadiometer,purple mangosteen
5065,Poplar,kale,Meitnerium,cougar,Peach,Dynamometer,guava
5066,Alder,nopale,Roentgenium,crocodile,Orchid,Laryngoscope,pineapple
5067,Sassafras,mamey,Selenium,fox,Caribbean Green,Seismometer,jackfruit
5068,Ash,turnip,Ytterbium,mustang,Forest Green,Strabometer,apricot
5069,Dogwood,black-eyed pea,Seaborgium,gnu,Pink Flamingo,Sphygmomanometer,eggplant
5070,Ash,mangetout,Tungsten,platypus,Desert Sand,Phonautograph,pineapple
5071,Pear,spaghetti squash,Ununtrium,muskrat,Atomic Tangerine,Lanameter,tamarillo
5072,Crabapple,green pepper,Strontium,badger,Mauvelous,Dendrometer,satsuma
5073,Magnolia,artichoke,Germanium,sheep,Red Orange,Telescope,pamelo
5074,Peach,borlotti bean,Francium,horse,Outrageous Orange,Coronagraph,kiwi fruit
5075,Holly,anise,Americium,crocodile,Cadet Blue,Rhythmometer,cherry
5076,Spruce,radish,Helium,walrus,Orange,Pachymeter,cherimoya
5077,Juniper,yam,Radon,muskrat,Red,Atmometer,tamarillo
5078,Linden,onion,Rubidium,chinchilla,Royal Purple,Nephograph,satsuma
5079,Cherry,habanero,Boron,ram,Almond,Hydroscope,cloudberry
5080,Linden,caraway,Aluminium,parrot,Sky Blue,Micrograph,plum
5081,Cherry,mamey,Hafnium,koala,Cerise,Pantograph,purple mangosteen
5082,Pine,radicchio,Praseodymium,capybara,Shocking Pink,Bronchoscope,pineapple
5083,Chestnut,spaghetti squash,Argon,canary,Mountain Meadow,Atmometer,apricot
5084,Juniper,endive,Tin,crocodile,Cotton Candy,Dosimeter,pineapple
5085,Holly,chives,Thulium,donkey,Midnight Blue,Myringoscope,tamarillo
5086,Oak,banana squash,Terbium,shrew,Jungle Green,Megascope,gooseberry
5087,Hawthorn,beet,Einsteinium,goat,Purple Pizzazz,Spectrograph,bell pepper
5088,Tulip Tree,chayote,Ununbium,ram,Sky Blue,Hygrometer,gooseberry
5089,Pine,radicchio,Yttrium,orangutan,Turquoise Blue,Barograph,rambutan
5090,Chestnut,squash,Darmstadtium,goat,Robin's Egg Blue,Chromatograph,blueberry
5091,Tulip Tree,paprika,Ytterbium,chameleon,Hot Magenta,Leptometer,cherimoya
5092,Sassafras,fennel,Roentgenium,platypus,Silver,Saccharimeter,ugli fruit
5093,Hickory,mushroom,Iron,dingo,Inchworm,Colposcope,persimmon
5094,Peach,paprika,Americium,otter,Vivid Tangerine,Opsiometer,orange
5095,Dogwood,courgette,Ununpentium,crow,Scarlet,Auriscope,ugli fruit
5096,Willow,black bean,Uranium,panther,Navy Blue,Recipiangle,pineapple
5097,Linden,spaghetti squash,Californium,lizard,Tropical Rain Forest,Bathymeter,passionfruit
5098,Gum,chayote,Yttrium,bear,Orange,Arthroscope,apricot
5099,Birch,green bean,Fermium,buffalo,Navy Blue,Thermometrograph,cranberry
5100,Cedar,tubers,Scandium,donkey,Cadet Blue,Hydroscope,persimmon
5101,Poplar,butternut squash,Nitrogen,parakeet,Blush,Zymometer,canary melon
5102,Juniper,tabasco pepper,Germanium,wildcat,Jazzberry Jam,Tropometer,breadfruit
5103,Hickory,pinto bean,Titanium,woodchuck,Banana Mania,Porometer,cucumber
5104,Willow,parsnip,Ununquadium,snake,Green Yellow,Manometer,raisin
5105,Pine,eggplant,Radium,hog,Fern,Strabometer,star fruit
5106,Juniper,artichoke,Titanium,tiger,Jazzberry Jam,Bathymeter,lime
5107,Birch,asparagus,Ytterbium,rat,Sunset Orange,Pluviometer,persimmon
5108,Palm,leek,Berkelium,platypus,Razzmatazz,Hydrometer,nectarine
5109,Magnolia,courgette,Actinium,baboon,Banana Mania,Oleometer,bilberry
5110,Cedar,spinach,Titanium,snake,Razzmatazz,Sepometer,date
5111,Holly,banana squash,Tantalum,chameleon,Sea Green,Radiometeorograph,kiwi fruit
5112,Olive,anise,Phosphorus,ocelot,Canary,Dosimeter,banana
5113,Gum,rosemary,Fermium,goat,Orchid,Radiometeorograph,loquat
5114,Yellowwood,asparagus,Vanadium,boar,Salmon,Stethoscope,cherimoya
5115,Pine,water chestnut,Magnesium,alpaca,Blue,Thermograph,redcurrant
5116,Beech,lima bean,Nobelium,frog,Black,Gasometer,blueberry
5117,Elderberry,carrot,Praseodymium,marmoset,Silver,Diagraph,cucumber
5118,Redwood,eggplant,Curium,elk,Pink Sherbert,Hyetograph,redcurrant
5119,Spruce,lavender,Roentgenium,lynx,Chestnut,Pyrometer,peach
5120,Beech,courgette,Cadmium,chinchilla,Outer Space,Leptometer,pamelo
5121,Sassafras,squash,Cadmium,elephant,Yellow Green,Hodoscope,kiwi fruit
5122,Redwood,bok choy,Actinium,elk,Spring Green,Craniometer,orange
5123,Elderberry,mushroom,Niobium,opossum,Mango Tango,Voltameter,pear
5124,Sassafras,aubergine,Krypton,horse,Olive Green,Dromometer,rambutan
5125,Apple,lettuce,Radium,mynah bird,Jazzberry Jam,Oscilloscope,cucumber
5126,Tulip Tree,squash,Mercury,wolverine,Gray,Auxanometer,raspberry
5127,Cypress,broccoli,Argon,cheetah,Melon,Pallograph,damson
5128,Elm,brussels sprout,Iron,rabbit,Sky Blue,Sympiesometer,pomegranate
5129,Maple,tat soi,Molybdenum,lion,Radical Red,Electroscope,purple mangosteen
5130,Crabapple,brussels sprout,Bismuth,sloth,Manatee,Areometer,lime
5131,Dogwood,cauliflower,Ununtrium,cow,Maroon,Eriometer,breadfruit
5132,Holly,lavender,Roentgenium,cow,Robin's Egg Blue,Torsiograph,feijoa
5133,Locust,kidney bean,Caesium,iguana,Gray,Dichroscope,lime
5134,Pine,radish,Barium,mustang,Robin's Egg Blue,Serimeter,tamarillo
5135,Hawthorn,ginger,Zirconium,lamb,Fern,Trocheameter,rambutan
5136,Dogwood,parsley,Fluorine,oryx,Yellow Green,Cystoscope,raspberry
5137,Alder,bean sprout,Argon,panda,Plum,Seismometer,cloudberry
5138,Magnolia,basil,Gold,giraffe,Robin's Egg Blue,Ratemeter,jujube
5139,Ash,lima bean,Ununquadium,lizard,Antique Brass,Mecometer,bilberry
5140,Sumac,parsnip,Lithium,hamster,Razzmatazz,Stauroscope,rock melon
5141,Apple,tat soi,Fluorine,frog,Robin's Egg Blue,Psychrometer,lychee
5142,Gum,radish,Rhenium,toad,Antique Brass,Electroencephalograph,apricot
5143,Holly,cauliflower,Ruthenium,bat,Granny Smith Apple,Micrograph,blood orange
5144,Elderberry,beet,Tantalum,grizzly bear,Outrageous Orange,Mecometer,papaya
5145,Magnolia,runner bean,Lutetium,cow,Red,Lactoscope,salal berry
5146,Olive,chives,Astatine,snake,Carnation Pink,Audiometer,pamelo
5147,Crabapple,nopale,Unununium,silver fox,Gray,Pharmacometer,cherimoya
5148,Sumac,parsley,Xenon,hippopotamus,Tickle Me Pink,Durometer,cucumber
5149,Willow,topinambur,Erbium,wildcat,Laser Lemon,Drosometer,kiwi fruit
5150,Cypress,tabasco pepper,Strontium,mule,Spring Green,Dipleidoscope,mandarine
5151,Tulip Tree,soy bean,Neodymium,mountain goat,Inchworm,Pachymeter,cherimoya
5152,Crabapple,parsnip,Meitnerium,lion,Razzmatazz,Lysimeter,pineapple
5153,Tulip Tree,celeriac,Dysprosium,impala,Copper,Crescograph,quince
5154,Spruce,navy bean,Zinc,giraffe,Neon Carrot,Hygrograph,feijoa
5155,Maple,new zealand spinach,Dubnium,dog,Sepia,Selenoscope,coconut
5156,Birch,yam,Arsenic,chipmunk,Blue,Actinometer,dragonfruit
5157,Peach,carrot,Polonium,mouse,Asparagus,Harmonograph,cherry
5158,Gum,tabasco pepper,Tellurium,panda,Royal Purple,Aethrioscope,cantaloupe
5159,Holly,parsley,Lanthanum,bear,Aquamarine,Dichroscope,blood orange
